"title","duration","copyright_date"
"THE WHORE SAID ITS YOURS","",""
"THE WIRED SNITCH","",""
"THE WORLD IS A GHETTO","",""
"THERE IS A TIME FOR LOVE","",""
"THERE'S NOBODY LIKE JESUS","",""
"THESE ARE OUR HEREOS","",""
"THEY MURDER","",""
"THINGS MUST CHANGE","",""
"THINK","",""
"THINK 2 THIS","",""
"THINK BIG","",""
"THINK OF ME","",""
"THINKIN","",""
"THINKIN BOUT CASH","",""
"THINKIN BOUTCHU","",""
"THINKING OF YOU","",""
"THIS IS CHRISTMAS","",""
"THIS IS MY PHONE CALL","",""
"THIS IS THE DAY","",""
"THIS IS THE LIFE","",""
"THIS JOY","",""
"THIS LETTER","",""
"THIS OLD TWISTED WORLD","",""
"THIS ONE","",""
"THIS WILL NOT WAIT","",""
"THOUGHTS","",""
"THROUGH LOVE","",""
"THROUGH THE RAIN","",""
"THROUGH THE WINDOW OF A TRAIN","",""
"THROW YOUR L S UP","",""
"THROWING IT ALL AWAY","",""
"THUG LORDZ","",""
"THUG LOUD","",""
"THUG MONEY","",""
"THUG NIGGAS","",""
"THUG ONES","",""
"THUG POETRY","",""
"THUG SO LONG","",""
"THUGGED OUT NIGGAZ","",""
"THUGMANIA","",""
"THUGMANIA","",""
"THUGZ","",""
"THUUN","",""
"TICKING TIME BOMB","",""
"TIDINGS","",""
"TIL LAST SUMMER","",""
"TILL WE MEET AGAIN","",""
"TIME CIRCLES","",""
"TIME IS ON MY SIDE","",""
"TIME OUT","",""
"T-MAK","",""
"TODAY","",""
"TOLD YOU SO","",""
"TOMA REGGAETON","",""
"TONIGHT","",""
"TOO HIGH TOO LOW","",""
"TOO HOT","",""
"TOO MUCH","",""
"TOO MUCH FOR ME","",""
"TOO MUCH ROOM","",""
"TOP NOTCH","",""
"TOP OF THE WORLD","",""
"TOP THUGG","",""
"TORCHES","",""
"TORTURE","",""
"TOTAL PRAISE","",""
"TOUMBLAK","",""
"TRACER","",""
"TRACER PT. 2","",""
"TRAGEDY OF WAR (IN THREE PARTS)","",""
"TRANCE","",""
"TREES","",""
"TRICKLE DOWN","",""
"TRIUMPH (ALREADY DONE)","",""
"TROUBLE AINT","",""
"TROUBLE MAN","",""
"TRU PLAYER","",""
"TRUE LUV","",""
"TRUE PLAYERS","",""
"TRUTH & LIES","",""
"TRUTH ABOUT ME","",""
"TRY IT AGAIN","",""
"TRY YOUR LUCK","",""
"TRYIN TIMES","",""
"TRYING TO SURVIVE","",""
"TRYNA BUBBLE","",""
"TUDUNN TUDUNN TUDUNN","",""
"TUNE TNS","",""
"TURN IT UP","",""
"TURN IT UP","",""
"TURNING POINT","",""
"TUSH","",""
"TWISTED","",""
"TWO SOLDIERS","",""
"U AINT NOBODY","",""
"U LOVE 2 HATE","",""
"U SHOULD BE MINE","",""
"U-HAUL","",""
"UNCLE FRED","",""
"UNCLE RAHEIM","",""
"UNION MAN","",""
"UNITED GHETTOS OF AMERCIA","",""
"UNRESTRAINED","",""
"UNSTOPPABLE","",""
"USE ME","",""
"USE ME","",""
"VENOM","",""
"VERBAL CLAP","",""
"VICTORY (IS CERTAIN)","",""
"VIDEO [REMIX]","",""
"VILLAGE COUNCIL PART ONE","",""
"VILLAGE COUNCIL PART THREE","",""
"VILLAGE COUNCIL PART TWO","",""
"VINYL CRISIS","",""
"VIOLATORS","",""
"VIP (CAN YOU HEAR ME NOW?)","",""
"VIRGINIA BACKROADS","",""
"VISIBLE SOUND","",""
"VISITING CALIFORNIA","",""
"VITAL NERVE","",""
"VITRONIS THEME- THE KING IS DEAD","",""
"VOICES INSIDE MY HEAD","",""
"WAITING CONTEMPLATING","",""
"WALK IN GUTTA","",""
"WALK RIGHT","",""
"WALK UP (SKIT)","",""
"WALK WITH A LIMP","",""
"WALK WITH ME","",""
"WALKERS THEME","",""
"WALKING ON WATER","",""
"WALKING WITH SHIRLEY","",""
"WALL TO WALL","",""
"WALTZ FOR WESTON","",""
"WALTZ MY SON","",""
"WANNA BE THERE","",""
"WANNA GET FREAKY","",""
"WANT ME BACK","",""
"WARD STREET","",""
"WARMING UP FOR A SCISSOR FIGHT","",""
"WARNING (INTRO)","",""
"WAS IT LOVE?","",""
"WATER DANCE","",""
"WE","",""
"WE A FAMILY","",""
"WE DONT PLAY THAT SHIT","",""
"WE GETTING IT","",""
"WE GONE RIDE","",""
"WE GONNA MAKE IT","",""
"WE GOT THAT","",""
"WE LIVE IN BROOKLYN BABY","",""
"WE LOVE  YOU","",""
"WE RE IN LOVE","",""
"WE RIDIN","",""
"WE RUN THIS SHIT","",""
"WE SPEAK ANIMAL","",""
"WE THREE KINGS","",""
"WE WANT IN","",""
"WE WILL BALL","",""
"WE WILL WIN","",""
"WE WISH YOU A TIMELESS CHRISTMAS","",""
"WEATHER THE STORM","",""
"WEEBLE WOBBLE","",""
"WEEPING","",""
"WEIGHT","",""
"WELCOME 2 DA BAY","",""
"WELCOME 2 THA HOUSE","",""
"WELL ALRIGHT","",""
"WEST COAST-EAST COAST MAKIN","",""
"WEST HAMILTON GROOVE","",""
"WHAT ARE YOU GONNA DO","",""
"WHAT CHU WANT","",""
"WHAT DO YOU WANNA KNOW","",""
"WHAT DOES IT TAKE","",""
"WHAT GOES AROUND COMES AROUND","",""
"WHAT GOES UP MUST COME DOWN","",""
"WHAT GOOD IS A BOMB","",""
"WHAT HAPPENS NOW","",""
"WHAT I AM","",""
"WHAT I KNOW NOW","",""
"WHAT IT DO","",""
"WHAT IT IS","",""
"WHAT IT LOOKS LIKE","",""
"WHAT MORE CAN HE DO","",""
"WHAT MORE DO YOU WANT FROM ME","",""
"WHAT SHE DIDN'T SAY","",""
"WHAT SHOULD I SAY","",""
"WHAT SON WHAT","",""
"WHAT THE FUCK IS UP","",""
"WHAT TOOK YOU SO LONG","",""
"WHAT WOULD DO","",""
"WHAT Y ALL WANNA HEAR","",""
"WHAT YALL NIGGAZ WANT","",""
"WHAT YOUR LIFE LIKE","",""
"WHATCHA GONNA DO","",""
"WHATCHA KNOW ABOUT ME","",""
"WHATEVER U WANT","",""
"WHATMAKEANIGGATHINKDAT","",""
"WHAT'S A MAN TO DO","",""
"WHATS GOIN ON IN THE WORLD TODAY?","",""
"WHATS YA NAME","",""
"WHAT'Z NEXT","",""
"WHEELS","",""
"WHEN I COME HOME TO YOU","",""
"WHEN I WAKE UP","",""
"WHEN IM WITH YOU","",""
"WHEN IT COMES TO THIS SHIT","",""
"WHEN PEOPLE DIE","",""
"WHEN THE SPIRIT OF THE LORD","",""
"WHEN THE SUN GOES DOWN","",""
"WHEN WE ALL GET TO HEAVEN","",""
"WHEN YOU RE A WOMAN","",""
"WHERE DID OUR LOVE GO","",""
"WHERE IM FROM","",""
"WHERE IM FROM INTERLUDE","",""
"WHERE THE GINSENG GROWS","",""
"WHERE WOULD I BE","",""
"WHERE WOULD I BE","",""
"WHILE IM FLYING","",""
"WHILE THE GETTINGS GOOD","",""
"WHO AM I?","",""
"WHOA","",""
"WHOLE LOT OF LOVE","",""
"WHORIDAZ","",""
"WHOS COMIN WIT DA SHIT NA","",""
"WHOS MEDINA","",""
"WHY ASK WHY","",""
"WHY DON'T YOU JUST SAY GOODBYE","",""
"WHY U WANNA HATE FOR","",""
"WHY WOULDN T I","",""
"WHY YOU DO WHAT YOU DO","",""
"WHY YOU FOLLOW ME","",""
"WICKED","",""
"WILD BILL","",""
"WILL ALWAYS LOVE YOU","",""
"WILL YOU STILL BE AROUND","",""
"WINDS OF SAHARA","",""
"WIRE","",""
"WITH ALL MY HEART","",""
"WITH LOVE","",""
"WITH YOU","",""
"WITHOUT A DADDY","",""
"WITHOUT A TRACE","",""
"WITHOUT HER IN MY ARMS","",""
"WOMAN FIRST","",""
"WOMEN LIE, MEN LIE","",""
"WONDERFUL WORLD","",""
"WORD OF MOUF","",""
"WORD OF MOUTH","",""
"WORD PLAY","",""
"WORDS","",""
"WORDS PART II","",""
"WORK","",""
"WORKER ANT UPRISE","",""
"WORKERS NEEDED","",""
"WORLD DOMINATION","",""
"WORLD OF GARBAGE","",""
"WORLD S MOST HATED","",""
"WORLD TOUR SESSIONS","",""
"WORLDWIDE","",""
"WOULDN'T MATTER TO ME","",""
"WOUNDS IN THE WAY","",""
"WRITE MY SONG","",""
"WRONG LOVER","",""
"X-ECUTION OF A BUM RUSH","",""
"YA BOY","",""
"YA GOT ME OPEN","",""
"YAC AND KOKE","",""
"YEAH YEAH U KNOW IT","",""
"YEAR 1993","",""
"YEAR 2003","",""
"YEAR 2670","",""
"YEAR 3987","",""
"YES","",""
"YES SIR","",""
"YO MIND","",""
"YOU AINT GOTTA GO HOME","",""
"YOU ALREADY KNOW","",""
"YOU ALWAYS SATISFY","",""
"YOU AND ME (WE'LL ALWAYS BE IN LOVE)","",""
"YOU ARE MY LOVE","",""
"YOU ASKED FOR IT","",""
"YOU BLESSED ME","",""
"YOU CAN IF YOU TRY","",""
"YOU CAN'T HANDLE THE TRUTH","",""
"YOU DONT HAVE TO GO HOME","",""
"YOU DONT KNOW (IN THE GHETTO)","",""
"YOU DONT KNOW ME","",""
"YOU DONT KNOW NOTHING","",""
"YOU DON'T LOVE ME NO MORE","",""
"YOU HURT ME ALL OVER AGAIN","",""
"YOU KNOW WHAT I MEAN","",""
"YOU LL never know","",""
"YOU LOVE ME TODAY","",""
"YOU MAKE LIFE SO GOOD","",""
"YOU MAKE ME COME","",""
"YOU OUGHTA BEEN THERE","",""
"YOU RE MY GIRL","",""
"YOU'RE THE ONE","",""
"YOU RE THE ONE THAT I LIKE","",""
"YOU VE GOT THE LOVE I NEED","",""
"YOU WILL FIND ME THERE","",""
"YOUNG, RICH AND DANGEROUS","",""
"YOUR FUTURE","",""
"YOUR HAUNTING GOODBYE","",""
"YOUR KINDA LOVE","",""
"YOUR LOVE","",""
"YOUR LOVE","",""
"YOUR LOVE IS THE SHIT","",""
"ZOOKS VS CONNERY","",""
"","",""
"","",""
"","",""
"","",""
"CLOUD 9","0:04:13","9/26/2006"
"DOLLA BILLS","0:04:02","9/26/2006"
"GETTIN' MONEY OVER HERE","0:05:16","9/26/2006"
"YOUNG DUDES MAKIN MOVES","0:03:43","8/12/2003"
"DIP WITH YOU","0:03:20","10/30/2007"
"SOMEBODY (LOVES YOU)","0:04:38","6/10/2008"
"BODY TO BURN","","1/1/1989"
"KINKY","0:02:51","9/12/2008"
"AMORE (SEXO)","0:03:51","10/22/2002"
"STARTING OVER","0:03:27","10/8/2002"
"","",""
"SWISHAS & ERB","0:04:02","3/31/2009"
"MORE THAN A CONQUEROR","0:05:22","3/16/2010"
"WAIT","0:06:46","3/16/2010"
"DO ME LIKE YOU","0:04:05","3/13/2012"
"TAKE IT","0:06:15","11/30/2010"
"SOMEBODY TOLD ME ABOUT JESUS","0:06:21","9/27/2011"
"GOOD TIME","0:05:02","9/27/2011"
"HE HAS A PLAN FOR ME","0:04:05","9/27/2011"
"WHEN I THINK ABOUT YOU","0:05:30","9/27/2011"
"JESUS CAME INTO MY LIFE","0:04:51","9/27/2011"
"ALL AROUND THE WORLD","0:07:18","9/27/2011"
"HEAVEN BOUND","0:05:11","9/27/2011"
"THERE'S NOBODY LIKE JESUS","0:03:36","9/27/2011"
"GOD IS ON OUR SIDE","0:03:36","9/27/2011"
"THE PROMISE","0:04:39","9/27/2011"
"BACK UP PLAN","0:03:43","7/6/2010"
"N2U","0:03:40","8/22/2006"
"THE FUTURE IS NOW","0:01:04","4/17/2012"
"CALLING ON YOU","0:04:40","3/20/2001"
"CAMERAS","0:07:14","10/24/2011"
"DID THAT","",""
"LOVE","",""
"THE TRUTH","",""
"ALONE","",""
"ANYTHING","",""
"ANYTHING GOES","",""
"BALLER","",""
"BANG BANG","",""
"BROTHERS","",""
"DANCE","",""
"DO YOU KNOW","",""
"DONT TOUCH","",""
"LOVE","",""
"STAY","",""
"STAY WITH ME","",""
"STEP ASIDE","",""
"STRUGGLE NO MORE","",""
"SUNSHINE","",""
"THE TRUTH","",""
"ANYTHING","",""
"STAY","",""
"STAY","",""
"SUNSHINE","",""
"SEXUAL ERUPTION","0:04:00","3/11/2008"
"EENIE MEENIE","0:03:23","3/23/2010"
"THE SHOW GOES ON","0:03:56","3/8/2011"
"HYFR","0:03:26","10/24/2011"
"OVER MY DEAD BODY","0:04:32","10/24/2011"
"25/8","0:03:56","11/21/2011"
"BEAUTIFUL MAJESTIC ONE","",""
"TRUTH GONNA HURT YOU","0:03:38","4/17/2012"
"STAND OUT","0:04:42","5/6/2008"
"BRING IT ON BABY","",""
"MIDWESTERN TOWN","0:03:09","6/16/1998"
"THE CRIME I DIDNT DO","",""
"1218","",""
"LIVE THIS","",""
"LUST FOR LIFE","",""
"DANGER","",""
"DA ILL OUT","",""
"START THE SHOW","",""
"MY BUDDY","",""
"I'M LOSIN' IT","",""
"ONLY FEAR OF DEATH","",""
"I JUST WANNA","",""
"MAGIC HAPPENS","",""
"AUTHENTICALLY YOU","",""
"SOS","",""
"TAKE IT HOW YOU WANT IT","",""
"G SPOT","",""
"OLD FRIENDS","",""
"GOTTA WORSHIP","",""
"GANGSTA B","",""
"GET STUPID, GO DUMB","",""
"N I G G A","",""
"CAPITOL","0:05:04","6/5/2012"
"JUST TRYING TO GET HOME","0:03:16","8/9/2011"
"IT WASNT YOU","0:03:29","7/13/1999"
"AWESOME GOD","0:07:18","9/29/2009"
"WHAT HAPPENED 2 U","0:04:21","6/11/2012"
"HIGH AND LOW","0:05:48","6/29/2004"
"CHRISTMAS LETTER","2:39:00","10/11/2011"
"JOY TO THE WORLD","00:03:00","10/11/2011"
"THE BALLERS FEUD","",""
"BARE WITNESS","",""
"BEEN HERE BEFORE","",""
"BELLS","",""
"THE BEST THING GOIN","",""
"BIG BALLA SOCIETY","",""
"BLUE MOON","",""
"BLUFFIN","",""
"THE BODEGA","",""
"CAN WE RIDE","",""
"CANT SELL DOPE 4EVA","",""
"CHILD AT HEART","",""
"COME BACK","",""
"CORNER STORE","",""
"A DAY IN THE LIFE","",""
"DEEPER THAN MOST","",""
"DRUG DEALER","",""
"EXPLORE THIS PIMPIN","",""
"EXTREME MEASURES","",""
"FACE DOWN","",""
"FRONT RUNNA","",""
"GRATEFUL","",""
"HATE ME","",""
"HEY BOY","",""
"I CANT","",""
"I LOVE DRO","",""
"IM DOIN MY THANG","",""
"IM ON IT","",""
"IM STILL RIDING LIKE THAT","",""
"IF YOU DONT KNOW","",""
"IT COULD BE EASY","",""
"JAN & ME","",""
"KALIFORNIA G'Z","",""
"THE LESSONS","",""
"LIFE IS NOT PROMISED","",""
"LIVE & DIRECT","",""
"LORD, I LOVE YOU","",""
"MECCA","",""
"MOBSTA MOBSTA","",""
"THE MURDERERS","",""
"NO REMORSE","",""
"PLAYGROUND","",""
"POOR FOLK","",""
"REGIME LIFE","",""
"RESPECT THE PIMPIN'","",""
"REST MY WEARY FEET","",""
"SHINE LIKE ME","",""
"SO COLD","",""
"SOMETIMES I CRY","",""
"SPACE PEOPLE","",""
"SPEAKERS ON BLAST","",""
"THE SPIRIT","",""
"STOP FOOLING YOURSELF","",""
"SUPERMIXXS BLACK IN THE BUILDING","",""
"THUG & DANGEROUS","",""
"THUGGED OUT","",""
"TOP SHOTTA","",""
"UNITED GHETTOS OF AMERICA","",""
"WAY TO GO","",""
"WEST SIDE","",""
"CLEAR CUT","0:02:40","7/16/1996"
"AIN'T GIVIN' UP","0:04:01","11/9/2004"
"CELEBRATE","0:03:57",""
"DON'T CHANGE","0:04:10","5/1/2012"
"FLY AWAY","0:03:51","11/5/2010"
"FRIENDS","0:03:37","10/5/2010"
"A CAPELLA (SOMETHING'S MISSING)","0:03:29","12/9/2008"
"HERE FOR YOU","0:03:34","5/1/2012"
"DOWN BOY","",""
"LIVE FOR THE MOMENT","0:04:21",""
"DAMN THAT (AIN'T GOING OUT LIKE THAT)","0:04:07",""
"HERE WE GO AGAIN","0:03:25",""
"I MISS YOU","0:05:18","4/7/2008"
"CAN'T STOP (WITHOUT YOU)","0:04:16","4/7/2008"
"WHAT WE GONE DO","0:03:52","10/5/2010"
"FALL IN LOVE","0:03:48","2/24/2012"
"WHAT I'D DO","0:04:18","4/7/2008"
"THE ONE","0:04:37","8/26/2006"
"THE BEST THING","0:03:45","9/28/2010"
"STAY","0:04:43","11/9/2004"
"RIDE","0:04:25",""
"PARADISE","0:03:33","5/1/2012"
"NO MORE","0:03:38","10/5/2010"
"NEVER BE THE SAME","",""
"GET ON MY NERVES","0:05:01","8/28/2006"
"MESSAGE","0:03:54","4/7/2008"
"LETTER","0:05:41","5/1/2012"
"SOMETHING 2NIGHT","0:03:16","4/7/2008"
"LET YA KNOW","0:04:22","8/28/2006"
"LET ME LOVE YOU","0:04:38","4/7/2008"
"JUST BECAUSE","0:03:17","11/9/2004"
"IT'S OVER","0:04:40","4/7/2008"
"YOUR HEART AIN'T IN IT","0:04:01","11/20/2006"
"I WANT IT ALL","0:03:26","5/1/2012"
"WANNA SAY","0:03:42","5/27/2008"
"MOSES (SET MY PEOPLE FREE)","0:03:08","11/16/2012"
"cold harbor","0:02:57","8/3/2004"
"DANVILLE GIRL","0:04:09","8/3/2004"
"HOLIDAY ON MISSION STREET","0:03:04","8/3/2004"
"INDIGO BLUE","","8/3/2004"
"KID","","8/3/2004"
"METHODIST PREACHER","","8/3/2004"
"RIDER ON AN ENDLESS LINE","","8/3/2004"
"THE SIGNS","0:03:41","12/11/2007"
"WHERE I BELONG","0:03:41","12/11/2007"
"COME OVER","0:03:41",""
"RUNNING AWAY","0:05:24","8/30/2011"
"HOLDING ON","0:04:53","8/30/2011"
"AZ U","0:04:14","10/5/2004"
"BEFORE IT'S GONE","0:05:04","10/5/2004"
"CAN'T HELP IT","0:04:47","9/16/1997"
"PLEASURES U LIKE","0:03:49","3/20/2001"
"VANS ON","",""
"WATCH YOUR BACK","",""
"ONE AND ONLY","",""
"IF I HAD THE MONEY I WOULD RIDE THAT TRAIN","",""
"DOLLA AND A DREAM III","4:43:00","9/27/2011"
"ONE","",""
"ONE MORE TIME","0:04:03","6/5/2012"
"IT'S YOUR WORLD PART 2","",""
"every time i think","",""
"BAD/ FUNKMASTER FLEX (FEATURING SHYNE)","",""
"3 BOROUGHS","",""
"ALRIGHT","",""
"AMERICAN ME","",""
"BACK TO BACK","",""
"BACK UP","",""
"BLUFFIN","",""
"CAN WE RIDE","",""
"I'M STILL RIDING LIKE THAT","",""
"PLAYGROUND","",""
"SOMETIMES I CRY","",""
"BALLER BITCH","",""
"THE BODEGA","",""
"BUMPIN' MY MUSIC","",""
"CHILD AT HEART","",""
"COME BACK","",""
"A DAY IN THE LIFE","",""
"DEEPER THAN MOST","",""
"DO IT B.I.","",""
"DO MY THANG","",""
"DO YO THUG THANG","",""
"DON'T BE SCARED","",""
"ENDANGERED SPECIES (TALES FROM THE DARKSIDE)","",""
"EXPLORE THIS PIMPIN","",""
"EXTREME MEASURES","",""
"ZONE","",""
"FACE DOWN","",""
"YOUR NAME","",""
"FIGHT ON","",""
"YOUR JOY","",""
"FINAL COUNT OF THE COLLISION","",""
"G SPOT","",""
"YOU'RE A WHORE","",""
"GO IN","",""
"GO IN","",""
"YOU RE THE ONE","",""
"GOD DAMN","",""
"YOU RE LETTING ME GO","",""
"YOU MAKE LIFE SO GOOD","",""
"YOU KNOW ME","",""
"HARD TYMEZ","",""
"YOU GOT WHAT I NEED (JUST A FRIEND)","",""
"I KNOW HOW IT FEELS","",""
"I LOVE DRO","",""
"I'LL DO ANYTHING","",""
"YOU COULDN T PAY ME TO CARE","",""
"YOU CAN T HANDLE THE TRUTH","",""
"I'M A HUSTLA, HUSTLA","",""
"IM DOIN MY THANG","",""
"YOU DONT KNOW (IN THE GHETTO)","",""
"YOU AND ME (WE'LL ALWAYS BE IN LOVE)","",""
"YOU AND I","",""
"YELLOW CUP","",""
"WRAPPED UP","",""
"17 INCHES OF SNOW","",""
"213 THA GANGSTA CLICC","",""
"6 MINUTES (DUNGEON FAMILY IT'S ON)","",""
"89 9 DETRIMENTAL","",""
"WONDROUS LOVE","",""
"WONDERFUL WORLD","",""
"A GANGSTA'S LIFE","",""
"A JOURNEY","",""
"WINGS OF AN ANGEL","",""
"WILSON COUNTY LINE","",""
"WILSON COUNTY LINE","",""
"WITHOUT YOU","",""
"ABC / LISTEN UP","",""
"WHY MUST I","",""
"WHY DO YOU DO WHAT YOU DO","",""
"AIN'T FINNA TAKE MY SHIT","",""
"ALKAHOLIK","",""
"WHOLE LOTTA LONESOME","",""
"WHOS COMIN WIT DA SHIT NA","",""
"WHO GOT IT","",""
"WHITHER THOU GO","",""
"WHERE THE RIVERS DIVIDE","",""
"WHERE THE BLUEBELLS GROW","",""
"WHERE DA WEED AT","",""
"WHERE AM I","",""
"WHEN YOU WANNA","",""
"WHEN I RAP","",""
"WHEN I GET HOME","",""
"WHEN DAY IS DONE","",""
"WHATCHA GONNA DO","",""
"WHATCHA waNNA DO","",""
"WHAT'CHA GONNA DO","",""
"WHAT U DON'T KNOW","",""
"BACKBONE","00:04:35","10/15/2002"
"BAD GIRLS","",""
"BALLER","",""
"BALLER BLOCKIN","",""
"WHAT IZ RAP?","",""
"WHAT HE WANTS","",""
"BE COUNTRY","",""
"WEST SIDE","",""
"WEST COAST-EAST COAST MAKIN","",""
"WELCOME TO DA GHETTO","",""
"WELCOME BACK THEME","",""
"WELCOME BACK","",""
"LET'S GET DOWN","",""
"WEEK FROM TODAY","",""
"WEAKEST","",""
"WE WEST COAST","",""
"WE WANT IN","",""
"BITCH NIGGAS","",""
"BLACKMAIL (INTERLUDE)","",""
"BLAME IT ON THE BLUEGRASS","",""
"WE GONE RIDE","",""
"BLOCKSTARS","",""
"WE GONNA MAKE IT","",""
"BLOOD ON YOUR HANDS","",""
"WAY TO GO","",""
"WATCHINME2","",""
"WATCH YOUR STEP","",""
"WATCH YOUR BACK","",""
"WASH2","",""
"WARNING1","",""
"WHAT A NIGHT","",""
"WE RE IN LOVE","",""
"WANTTHIS","",""
"WAIT","",""
"WAIT","",""
"VINTAGE2","",""
"VICE VERSES","",""
"VIP (CAN YOU HEAR ME NOW?)","",""
"UPINTHATASS","",""
"UP THEM THANGS","",""
"UNITED GHETTOS OF AMER","",""
"UNITED GHETTOS OF AMERica","",""
"UNIT","",""
"TURN UP THE RADIO","",""
"TROUBLES UP AND DOWN THE ROAD","",""
"TROUBLE","",""
"TOWN THAT ISN T THERE","",""
"TOPAZ MOON","",""
"TINKER MAN","",""
"TIME IS MONEY","",""
"THUGGED OUT","",""
"THISIZHOWDASTOREYGOEZ","",""
"THIS PRAISE IS FOR YOU","00:04:05","7/26/2011"
"THINK ABOUT YOU EVERY DAY","",""
"THING ABOUT YOU","",""
"THEY MAD, I LAUGH","",""
"THEY BOUT' 2 C","",""
"BLOWING UP THE SPOT","",""
"THERE WILL NEVER BE ANOTHER YOU","",""
"BLUE MOON RISING","",""
"THE TRUTH","",""
"BLUESING","",""
"THE ROUNDER","",""
"THE BOOGIE BACK","",""
"BORN WITH A HAMMER IN MY HAND","",""
"BOUNCEUP1","",""
"BREAK THE CHAIN","",""
"BREAKIT","",""
"BREATHTAKING","",""
"BRING IT ON","",""
"BOUNCE","",""
"BRING OUT THE FREAK IN YOU","",""
"THAT S WHAT LOVE CAN DO","",""
"THAT S NOT WHAT SHIPS ARE FOR","",""
"BROKEN LANGUAGE","",""
"THAT S HOW I GO","",""
"BROOKLYN S DON DIVA","",""
"BS","",""
"BURNING UP","",""
"TELL ME","",""
"TELL EM","",""
"TAKEBACK3","",""
"TAKE ME OVER JORDAN","",""
"TAKE ME ON A LIMOUSINE","",""
"TAKE ME BACK","",""
"CAN YOU HEAR ME","",""
"TAKE IT BACK","",""
"CAN'T BE THE END","",""
"TAINTED","",""
"SYMPHONY3","",""
"SWEETNESS MY WEAKNESS","",""
"SWANG SONG","",""
"CAPE COAST","",""
"CAROLINA RAIN","",""
"SUPERMODEL","",""
"CAT S GOT YOUR TONGUE","",""
"CAUGHT UP IN THE HYPE","",""
"CHARLIE LAWSON S STILL","",""
"CHECK N' ME OUT","",""
"SUCKAS DO WHAT THEY CAN","",""
"CHINA","",""
"STORYTIME","",""
"CHIRP BACK","",""
"STOP N GO","",""
"CHOCOLATE CITY","",""
"CLAP ON","",""
"CLARENCE S SONG","",""
"CLAY AND OTTIE","",""
"STONE ROLLIN","",""
"CLAY AND OTTIE","",""
"STAY RIGHT HERE","",""
"STAND ON UP","",""
"STALLION","",""
"SPIRIT WILLIE","",""
"SPIES","",""
"CLICK","",""
"CLIVUS MULCHUM","",""
"CLOSE TO YOU","",""
"CLOSER THAN CLOSE","",""
"SPANISH FLY","",""
"SOUND SYSTEM","",""
"SOOPAMAN LUVA 6 PART 2","",""
"SONG FOR MAMA","",""
"CLUB PACKAGE","",""
"CLUB2","",""
"SOMETHING BOUT THE WAY","",""
"COBANO NOINTRO","",""
"SOGOOD","",""
"SODDY DAISY","",""
"COME CLEAN","",""
"COME ON DOWN THE MOUNTAIN","",""
"COMEON 4","",""
"CONFRONTATION","",""
"COULD IT BE","",""
"COVER ME","",""
"THE COUNTDOWN","",""
"SNAPSHOTS AND SOUVENIRS","",""
"SMURF FOR WHAT IT S WORTH","",""
"CRACKLEPOP","",""
"CRAZY CLOSE","",""
"CRIBS-CUES","",""
"CRUNCHY2","",""
"SLOW FALL","",""
"SLICK","",""
"DANBURY JAIL","",""
"DANGER ZONE (FEAT MASE & BIG L","",""
"DATE WITH BABY","",""
"SINK DOWN3","",""
"Single","",""
"SILENT WHISPERS","",""
"SHOUT","",""
"SHOOTER","",""
"SHOOT2","",""
"SHIKOU SAKUGO","",""
"SHIFT","",""
"SET IT OFF","",""
"SEND ME","",""
"SEARCHING FOR MYSELF IN TENNESSEE","",""
"SCRATCHEM4","",""
"SAY IT AIN'T SO","",""
"SAY IT AGAIN","",""
"SAVE MY BABY","",""
"SANTA FE","",""
"SAMWISE","",""
"RUNAWAY TRAIN","",""
"ROUNDER","",""
"ROLEX RULEZ","",""
"DAYBREAK","",""
"ROCK STEADY PART TWO","4:12","11/10/1998"
"RIVER","",""
"RISKY","",""
"DEAD END","",""
"RIGHT ON TRACK","",""
"RIGHT NOW2","",""
"RIDING ON THE CLINCHFIELD","",""
"Rhymin' wit Biz","",""
"REVOLUTION","",""
"DO YA DANCE","",""
"LIVE WIRES CONNECT","",""
"DON T SLEEP","",""
"DON'T 4 GET","",""
"DON'T STOP YOUR PRAISE","",""
"DON2","",""
"DONT BELIEVE THE HYPE","",""
"REMEDY","",""
"REGIME KILLERS 2001","",""
"DOWN SOUTH FUNK","",""
"DOWN THE LINE","",""
"REASON","",""
"RAMBLING HEART","",""
"DRAMA","",""
"DROWZY","",""
"DUNGEON RATZ","",""
"EITHER WAY I M GOING HOME","",""
"ENGINEER","",""
"ENIGMA","",""
"EXQUISITE","",""
"FABBY","",""
"RADIOHIT2","",""
"QUEENS","",""
"QU-EE-NS","",""
"PUTUM UP","",""
"PUT YOUR HANDS UP","",""
"FAMILY MAN","",""
"PUNCH OUT","",""
"PROPHETS OF RAGE","",""
"PROMISE ME LOVE","",""
"FAN MAIL","",""
"PROMISE","",""
"PROBLEMS","",""
"FANCY PANTS","",""
"PROBLEMS","",""
"PROBLEMS","",""
"FARMER S BLUES","",""
"FARRAH","",""
"PRESIDENTIAL SUITE","",""
"PRAY FOR ME","00:04:05","7/26/2011"
"PORNO MOVIE","",""
"FEEL IT","",""
"FIGHT THE POWER","",""
"FIND ME OUT ON A MOUNTAINTOP","",""
"FOOTHILLS OF CAROLINE","",""
"POP DA COLLAR","",""
"POCKET KNIVES AND FIDDLE TUNES","",""
"FOREPLAY","",""
"FOUR TWENTY","",""
"PLEDGE REMIX","",""
"PLAYBOI","",""
"FREQ","",""
